approach,approach_group,split,n_rows,total_cost,over_threshold_count,didi,catch_rate,r2,mae,auc,total_cost_ci_low,total_cost_ci_high,didi_ci_low,didi_ci_high,catch_rate_ci_low,catch_rate_ci_high,r2_ci_low,r2_ci_high,mae_ci_low,mae_ci_high,auc_ci_low,auc_ci_high,notes
fixed_policy,interval_policy,test,3665,22479.36117481083,387.0,0.0,90.86294416243656,,,,20564.32828978267,24437.04738327344,0.0,0.0,86.69648318042813,94.76708282991004,,,,,,,"No patient information used, same interval for everyone, DIDI is 0 by construction."
snapshot_adaptive,interval_policy,train,10162,49504.44987052583,926.0,5.9479787033530425,84.4311377245509,,,,47313.182059591614,51775.28217111075,3.197044000449444,8.61898197335993,81.23050940488505,87.55148643353903,,,,,,,"Predict then Optimize on the current visit RISK_SCORE only, menu 3, 6, 12 months."
snapshot_adaptive,interval_policy,test,3665,18387.06329679056,387.0,7.199504197415323,88.3248730964467,,,,16912.87703372668,19886.23319550973,4.596784364521765,12.914157865943611,83.86843438608344,92.8247967160823,,,,,,,"Predict then Optimize on the current visit RISK_SCORE only, menu 3, 6, 12 months."
forecast_adaptive,interval_policy,train,10162,101932.94330428077,927.0,7.449633416459184,86.22754491017965,,,,95786.91919088108,108647.31074742744,4.5728523841680495,10.371738805648617,82.96960037155101,89.43467234733212,,,,,,,"Reads the real multi horizon forecast when available, 52.6 percent of train rows, the rest fall back to the snapshot risk score scaled by horizon."
forecast_adaptive,interval_policy,test,3665,38795.60286293415,387.0,8.515606467247242,91.37055837563452,,,,34791.9228397971,42798.11695047436,6.101166855913121,15.44913150882015,87.36131254532269,95.0756851116744,,,,,,,"Reads the real multi horizon forecast when available, 54.0 percent of test rows, the rest fall back to the snapshot risk score scaled by horizon."
hazard_logistic_core,hazard_model,train,6415,,,,,,,0.7588084651466762,,,,,,,,,,,,,"Discrete time hazard estimator, logistic, core feature tier, 7 features, following 05 pm lesson 6."
hazard_logistic_core,hazard_model,test,2291,,,,,,,0.7430587631511418,,,,,,,,,,,0.7047540773196659,0.7824724684620851,"Discrete time hazard estimator, logistic, core feature tier, 7 features, following 05 pm lesson 6."
hazard_forest_core,hazard_model,train,6415,,,,,,,0.9015526325954708,,,,,,,,,,,,,"Discrete time hazard estimator, forest, core feature tier, 7 features, following 05 pm lesson 6."
hazard_forest_core,hazard_model,test,2291,,,,,,,0.7908757652406613,,,,,,,,,,,0.7587346258216336,0.8239565033282643,"Discrete time hazard estimator, forest, core feature tier, 7 features, following 05 pm lesson 6."
hazard_logistic_extended,hazard_model,train,4798,,,,,,,0.7627139683084,,,,,,,,,,,,,"Discrete time hazard estimator, logistic, extended feature tier, 9 features, following 05 pm lesson 6."
hazard_logistic_extended,hazard_model,test,1738,,,,,,,0.7681421240937766,,,,,,,,,,,0.7285538076705096,0.8059186094509712,"Discrete time hazard estimator, logistic, extended feature tier, 9 features, following 05 pm lesson 6."
hazard_forest_extended,hazard_model,train,4798,,,,,,,0.921693493077286,,,,,,,,,,,,,"Discrete time hazard estimator, forest, extended feature tier, 9 features, following 05 pm lesson 6."
hazard_forest_extended,hazard_model,test,1738,,,,,,,0.791233170134639,,,,,,,,,,,0.7552362925679013,0.8289065475275919,"Discrete time hazard estimator, forest, extended feature tier, 9 features, following 05 pm lesson 6."
decision_focused_pfo_refit,interval_policy,train,10162,49504.44987053206,,5.9479787033530425,84.4311377245509,,,,,,,,,,,,,,,,"Decision-focused learning (SPO+) comparison, cross-entropy refit fallback estimator, blended with the same real HAZARD_ESTIMATE PFO uses, on this notebook's own native population (13827 rows)."
decision_focused_spo,interval_policy,train,10162,44347.433110055725,,7.498267339191774,71.8562874251497,,,,,,,,,,,,,,,,"Decision-focused learning (SPO+) comparison, SPO+ trained fallback estimator, blended with the same real HAZARD_ESTIMATE PFO uses, on this notebook's own native population (13827 rows)."
decision_focused_pfo_refit,interval_policy,test,3665,18387.06329679273,,7.199504197415323,88.3248730964467,,,,,,,,,,,,,,,,"Decision-focused learning (SPO+) comparison, cross-entropy refit fallback estimator, blended with the same real HAZARD_ESTIMATE PFO uses, on this notebook's own native population (13827 rows)."
decision_focused_spo,interval_policy,test,3665,16789.551897231002,,8.076052937868894,72.08121827411168,,,,,,,,,,,,,,,,"Decision-focused learning (SPO+) comparison, SPO+ trained fallback estimator, blended with the same real HAZARD_ESTIMATE PFO uses, on this notebook's own native population (13827 rows)."
